created_at,text
2015-08-08 02:27:52 +0000,".@larry_kudlow @Comm4Prosperity Larry, let's talk about #GrowthCode, http://t.co/CEekcQZA0V. 15% rate on all business income."
2015-08-08 00:01:42 +0000,@WillvonKaenel @benshapiro Nope. It was a gift from my wife.
2015-08-07 23:54:43 +0000,@TomDeVor @gingerdevor Thanks!
2015-08-07 23:52:03 +0000,@TomDeVor @gingerdevor Be happy to!
2015-08-07 23:31:54 +0000,.@FTR__Radio @JimDeMint Exactly. We need to do a better job of communicating this optimism.
2015-08-07 20:44:16 +0000,When our allies and adversaries see us cutting our military the world is less safe.End the defense #sequester. https://t.co/QSXYtv0FhF
2015-08-07 18:55:49 +0000,.@brianstelter Must have been the #warmup act. #GOPDebate
2015-08-07 18:32:28 +0000,My 5-point tax reform plan will create #jobs and increase pay for middle-class Americans http://t.co/CEekcQHYCl. #GrowthCode
2015-08-07 15:48:33 +0000,We need to end #sequester on defense budget.#GOPDebate.
2015-08-07 13:20:25 +0000,". @usatoday2016 I propose rates of 10%, 15%, 25% on individual income. 15% rate on business income, http://t.co/CEekcQHYCl."
2015-08-07 12:41:07 +0000,"@usatoday2016 Thanks. I propose rates of 10%, 15%, 25% on individual income. 15% rate on business income. More here, http://t.co/CEekcQZA0V"
2015-08-07 12:19:12 +0000,@DeepSouthProud Ha!
2015-08-07 12:18:37 +0000,@hillarysusans Great. Thank you!
2015-08-07 11:51:59 +0000,#IranDeal needs to be defeated.
2015-08-07 11:48:20 +0000,"Let's get the economy growing again. Let me know what you think of this 5 step plan, http://t.co/CEekcQZA0V #GrowthCode"
2015-08-07 11:41:53 +0000,I'll be on @jfradioshow shortly. Listen online at http://t.co/PogWGOCODP. #GOPDebate
2015-08-07 03:39:42 +0000,@bonniebeagle Thank you!
2015-08-07 03:06:08 +0000,Profits made abroad should not be taxed when brought home for reinvestment. #GrowthCode #GOPDebate
2015-08-07 03:05:26 +0000,"Help American companies compete on a level playing field against China, Japan, and the largest economies in Europe. #GrowthCode #GOPDebate"
2015-08-07 02:42:10 +0000,How to restore American prosperity in 5 steps. #GrowthCode #GOPDebate http://t.co/wyY924sngA
2015-08-07 02:20:09 +0000,Tax brackets should be lowered and dramatically simplified for ALL individuals. #GrowthCode #GOPDebate
2015-08-07 02:17:22 +0000,Small businesses should not be taxed as individuals. #SmallBusiness #SmallBiz #GrowthCode #GOPDebate
2015-08-07 02:15:21 +0000,"We need to simplify the tax code. 15% rate on all business income, regardless of the type of entity. #GrowthCode #Taxes #GOPDebate"
2015-08-06 22:40:01 +0000,In the Spin room #gopdebate http://t.co/8YLBo6bg5N
2015-08-06 22:32:09 +0000,@CFBFan365 Thank you.
2015-08-06 22:30:30 +0000,@TweeterLE2012 Thank you!
2015-08-06 22:29:16 +0000,Visit http://t.co/SoyWb2ygQP and join our team. Thanks for your support! #GOPDebate
2015-08-06 22:25:56 +0000,@Enlightened24 Thank you!
2015-08-06 22:25:45 +0000,"@IncorporatedTim Here it is, http://t.co/3QsIuB7grP. Thanks!"
2015-08-06 22:20:46 +0000,Direction of nation must change. Get economy growing again. http://t.co/CEekcQZA0V #GOPDebate
