created_at,text
2015-09-06 18:09:09 +0000,"Here's a short recap from last week's MI &amp; NH events - Pls share #Kasich4Us
https://t.co/sincWTUHDJ"
2015-09-06 16:06:04 +0000,A new poll is out today that has Gov @JohnKasich at #2 in New Hampshire! Join the team today! http://t.co/dy8KnZ122T http://t.co/fanNq4Bz7D
2015-09-06 13:24:18 +0000,Gov. @JohnKasich will be on @ThisWeekABC this morning! Find your local listing: http://t.co/doPE1zro8y
2015-09-05 15:15:05 +0000,Gov @JohnKasich will be on @ThisWeekABC Sunday w/ @GStephanopoulos - Find your local listing: http://t.co/yJmredWBAI http://t.co/TKQBspwfZp
2015-09-04 15:51:54 +0000,"In case you missed it, check out our latest video about @JohnKasich's positive vision for America #Kasich4Us
https://t.co/NYKBFRVV6J"
2015-09-04 00:16:21 +0000,"Big news in Ohio this week!

READ MORE: http://t.co/Q6eH8WQY2h http://t.co/dyS9fP1YLk"
2015-09-03 20:45:51 +0000,"[VIDEO]: Positive &amp; accomplished, it’s why N.H. continues to embrace @JohnKasich #FITN #NHPolitics
https://t.co/G438BFATL3"
2015-09-03 12:42:47 +0000,"Read more about why @AlDAmatoNY supports Gov. @JohnKasich's candidacy for President: ""Why I'm all in for John Kasich"" http://t.co/ozBMiDXbnP"
2015-09-03 00:03:00 +0000,"One more Town Hall this evening in Lebanon, N.H. Great turnout! #NHPolitics #FITN Sign up: http://t.co/dy8KnZ122T http://t.co/DkchC0QA1n"
2015-09-02 23:00:22 +0000,"Hey Apple &amp; @Android, when will we get a wavy bacon emoji? Did you see our @Snapchat filter today? https://t.co/LnIXHijdBy"
2015-09-02 21:01:06 +0000,"Another big Town Hall turnout! Gov @JohnKasich answering Q’s in New London, N.H. #FITN #NHPolitics http://t.co/ngpL0eDtjQ"
2015-09-02 18:31:14 +0000,Glad to have @GreggHarper &amp; @Andy_Taggart on the team! #Kasich4Us https://t.co/TSIIBo6b3p
2015-09-02 17:46:29 +0000,Gov @JohnKasich was at @NewEngCollege today for a Town Hall event - Talking abt how to strengthen America #FITN http://t.co/rifRYxCbkp
2015-09-02 15:42:47 +0000,@mortyshar2 Gov. Kasich was in Salem and Derry a few weeks ago. Check our N.H. page for upcoming events: http://t.co/qkFiBzbw83
2015-09-02 14:53:09 +0000,"Gov. Kasich visiting with voters this morning at Robie’s Country Store in Hooksett, N.H. - Overflow crowd http://t.co/HiQBXPp3OP"
2015-09-02 14:24:59 +0000,We're excited to have NH State Sen. Boutin and Karen &amp; Raul Cervantes on the team! Thx for your support #Kasich4Us http://t.co/9WCnNebm7F
2015-09-02 11:58:12 +0000,Waking up in New Hampshire this morn? Start your day off with some bacon...on our @Snapchat filter! #FITN #NHPolitics http://t.co/4iHuLV7Fgs
2015-09-01 22:11:43 +0000,"Peace through strength. We must reinvigorate our military to make America safer and the world more secure. -John
https://t.co/dGx9N5dxfX"
2015-09-01 19:31:43 +0000,Nice to see you again Ronna! https://t.co/OLBkehw5Bm
2015-09-01 18:24:41 +0000,Thanks for your support!! https://t.co/gDMJeE8apG
2015-09-01 17:55:29 +0000,"Lt. Gov, Thx for the good word. Easy to be positive in MI when you &amp; @onetoughnerd are leading so effectively. -John https://t.co/j9ivoPg9ra"
2015-09-01 16:43:23 +0000,Gov @JohnKasich speaking today abt job creation &amp; lifting Americans at the @LansingChamber luncheon http://t.co/wxTtcmADhU
2015-08-31 23:49:14 +0000,Gov. John Kasich is up to #3 in @TheHill's GOP rankings. - Help keep our momentum going! http://t.co/jNQkUUdwWs Read: http://t.co/gAjpR9DsYN
2015-08-31 22:38:51 +0000,Gov @JohnKasich will be on the @HughHewittShow w/ @hughhewitt at 7:40PM EDT - Tune in http://t.co/UpGYVqbUgN
2015-08-31 20:42:40 +0000,Gov. John Kasich will be on @FoxNews​ with @greta​ TONIGHT at 7:25PM EDT - Tune in!!
2015-08-31 18:41:15 +0000,Gov @JohnKasich spoke today at the @APPSUSA forum in Michigan about how we can make America stronger and safer http://t.co/fFqp85UDBC
2015-08-31 14:13:46 +0000,"As POTUS once again oversteps his bounds, Ohio knows every carnation is a monument to our own William McKinley. -John http://t.co/GvQfqnIKOh"
2015-08-30 17:35:03 +0000,We have a critical Aug. fundraising deadline Mon. Pls consider chipping in $25 or more to help keep up our momentum! http://t.co/LLbO4Ok6OO
2015-08-29 23:21:49 +0000,"Gov. Kasich's groundbreaking community-police task force made big news. New guidelines w/ a goal of preserving life.

http://t.co/jPhl5hx1RQ"
2015-08-29 21:43:17 +0000,Who liberals fear the most in 2016: @JohnKasich - Join the team today: http://t.co/dy8KnZ122T Read more: http://t.co/66Vl2PWRts
2015-08-28 21:20:46 +0000,Read @FBNStossel's report showing @JohnKasich's strong record of conservative budgeting: http://t.co/Bep9S4G9lK
2015-08-28 21:20:19 +0000,".@FBNStossel took a hard look at @JohnKasich's record of real, conservative budgeting in Ohio. Here's what he found. http://t.co/RBn5kfUjP4"
2015-08-28 15:15:41 +0000,Americans deserve a balanced federal budget. Sign the petition if you agree! https://t.co/vrEuMWNmQ5 #Kasich4us
2015-08-27 23:16:15 +0000,"No @HillaryClinton, Americans you disagree with aren't ""terrorists."" These are terrorists. #StrongerTogether
http://t.co/hVVXWUKKtL"
2015-08-27 21:20:07 +0000,"We balanced the budget once. Together, we can do it again. #Kasich4Us
https://t.co/eYanksajpg"
2015-08-27 17:21:35 +0000,Coincidence that Hillary came out swinging at @JohnKasich after polls show he’s the only one who beats her in NH? http://t.co/jNQkUUdwWs
2015-08-27 15:28:51 +0000,"Hey @GQMagazine, I heard chucks with suits are back in style -John #TBT http://t.co/LY9LyaXPYa"
