created_at,text
2015-08-16 13:32:25 +0000,"Our powerful ""Team Huck"" will power us through the key early states of IA &amp; SC! http://t.co/WXG3sx3dfl #ImWithHuck http://t.co/BhRAMTyZOQ"
2015-08-15 19:30:19 +0000,The #IRS is a criminal enterprise &amp; must be abolished! Let's pass the #FairTax --&gt; http://t.co/BrRt7ZQrMw #ImWithHuck http://t.co/GUbfOc3DGf
2015-08-15 19:13:56 +0000,Enjoyed being at the #IAStateFair this week! #ImWithHuck #ISF2015 #DMRSoapbox http://t.co/oqZHpSpZ4c
2015-08-14 22:10:41 +0000,From Hope to Higher Ground #ImWithHuck http://t.co/FamHgBy6Qr
2015-08-14 20:03:39 +0000,John Wayne &amp; I have a message for politicians raiding #SocialSecurity on its 80th b-day. Watch ⬇️ #ImWithHuck https://t.co/4gfuogOXFW
2015-08-14 16:56:16 +0000,Check out all our campaign gear here --&gt;  http://t.co/1gJ1lqM2Vy
2015-08-14 02:37:32 +0000,@6stringhero Bummed I missed out. We'll certainly have to make that happen!
2015-08-14 02:17:29 +0000,ICYMI: My #DMRSoapbox speech @ the #IAStateFair today --&gt; https://t.co/dxUqZQcFZt #ImWithHuck
2015-08-14 01:07:42 +0000,Our #Iowa team got to meet the awesome @CastingCrowns! http://t.co/Gc7sG8G7sx
2015-08-13 20:28:24 +0000,"#ObamaCare = welfare program, Medicare &amp; SS aren't! It's morally wrong to rob seniors of the benefits govt promised. http://t.co/NVcdaAh1hc"
2015-08-13 18:23:31 +0000,.@JanetHuckabee really enjoyed seeing our good friend Wendy at the #IAStateFair today! http://t.co/8K0pVSfdqi
2015-08-13 17:23:59 +0000,Shocked Republicans are implementing #ObamaCare &amp; demanding seniors surrender EARNED SS &amp; Medicare benefits --&gt; http://t.co/NVcdaAh1hc
2015-08-13 16:35:19 +0000,Had a great time at the #IAStateFair! Enjoyed speaking on the #DMRSoapbox. #ISF2015 http://t.co/TC7AR5wslW
2015-08-13 16:30:17 +0000,"We have an immigration crisis on our hands. Without a secure border, nothing matters. --&gt; http://t.co/izoDQ7J7Ge"
2015-08-13 15:23:51 +0000,"Read my op-ed in today's @DMRegister: ""Don’t cut benefits America’s seniors already paid for"" --&gt; http://t.co/NVcdaAh1hc #ImWithHuck #Iowa"
2015-08-13 14:51:09 +0000,Do you support the #FairTax? --&gt; http://t.co/1Q1X2dCJxS
2015-08-13 13:19:40 +0000,It's a great morning in Des Moines!!! @janethuckabee &amp; I are about to head to the @IowaStateFair. #GetYourAgOn
